# channels number
2
# samples number
101
# sampling rate
1
# start date
20-07-2014
# start time
18:34:01.000
# channels names
BHN;BHZ
228749 152.835
228699 140.083
228698 166.87
228723 162.09
228643 123.831
228653 155.286
228654 149.508
228668 168.71
228623 150.566
228594 153.045
228577 158.316
228569 154.705
228563 143.629
228592 139.659
228510 167.001
228580 155.047
228521 178.544
228550 109.511
228585 189.421
228550 133.15
228518 169.941
228596 139.253
228538 160.815
228567 156.408
228547 140.445
228563 163.445
228564 135.329
228545 149.329
228571 165.231
228533 167.925
228546 129.888
228518 176.413
228529 132.354
228525 140.697
228472 172.183
228530 147.523
228518 177.075
228383 124.033
228509 172.376
228444 135.644
228470 182.203
228430 145.911
228437 136.676
228438 156.973
228450 189.948
228456 127.356
228430 154.582
228474 147.732
228387 157.245
228476 155.152
228383 179.513
228395 118.837
228375 137.746
228353 170.972
228294 155.32
228234 162.975
228220 139.653
228186 156.644
228255 161.059
228165 161.346
228183 150.64
228133 157.263
228166 137.348
228142 166.647
228108 151.34
228124 162.89
228111 143.885
228148 155.637
228081 157.907
228132 173.431
228127 140.948
228131 162.019
228125 140.647
228143 173.469
228112 131.386
228112 162.26
228127 160.787
228151 158.357
228150 145.623
228104 163.375
228102 151.442
228121 150.204
228095 136.391
228190 175.297
228019 146.494
228138 155.607
228035 145.869
228148 155.233
227988 169.607
228068 142.931
228048 163.244
228029 131.227
228021 165.682
227972 154.982
228024 158.398
228020 139.861
227996 155.512
228071 147.794
227991 150.844
228039 158.477
228038 168.816
