# channels number
2
# samples number
1000
# sampling rate
0.89
# start date
01-01-0001
# start time
00:00:00.000
# channels names
Рабб(4,2);Рабб(6,3)
-0.01227951 0.06896248
0.03082135 0.2605479
0.01849774 0.3353053
-0.05727782 0.248402
-0.131547 0.2117235
-0.2033253 0.2973598
-0.2309087 0.4012807
-0.1970083 0.4358752
-0.2196134 0.2007201
-0.2107023 0.03561814
-0.2027673 0.1404343
-0.1848696 0.3824904
-0.05690907 0.5745629
0.03334834 0.7477458
-0.04451917 0.9425002
0.1434956 1.011986
0.1947538 0.9275035
0.185566 0.9583396
0.2994998 1.008186
0.3177936 0.7688017
0.192803 0.5211191
0.2637035 0.4260243
0.3010376 0.4033419
0.1490746 0.3433202
0.07140953 0.270908
0.1409855 0.3560129
0.3058561 0.4661936
0.2474588 0.4525506
0.08292639 0.3832498
0.1803078 0.5036565
0.4505714 0.8191443
0.5024021 0.937763
0.4576442 0.825803
0.3880862 0.6515457
0.233436 0.6635531
0.3538375 0.8316292
0.4668645 0.6432633
0.2343327 0.1858491
-0.0770516 0.03993614
-0.3033407 0.2552441
-0.2289791 0.4659124
-0.1193071 0.3310145
-0.3438542 0.05789705
-0.5134063 0.231431
-0.4221303 0.6790785
-0.1988631 0.8328636
-0.03849868 0.4947495
-0.1693652 0.131701
-0.1787813 0.1079062
0.1922779 0.4039282
0.5247101 0.4960848
0.4976472 0.2296034
0.4689111 -0.02104632
0.6554242 0.1125357
0.7886394 0.3363221
0.8053709 0.2764522
0.5883872 -0.03075579
0.3874651 -0.1523089
0.3787919 -0.03082628
0.3670741 0.04006695
0.1853237 -0.2045626
0.02198651 -0.5623606
-0.141001 -0.5384346
-0.2725359 -0.05242825
-0.3845884 0.1933244
-0.4081828 -0.06158265
-0.4544415 -0.3501155
-0.4275794 -0.2390847
-0.5360888 0.04430968
-0.608562 0.05935359
-0.3836688 -0.3004581
-0.1184403 -0.6012738
-0.04990863 -0.4371811
-0.1646664 -0.1934497
-0.00298566 -0.2653368
0.327041 -0.4429879
0.33419 -0.3836933
0.341236 0.05015079
0.2941962 0.3215413
0.3651773 0.04218052
0.4959336 -0.3920753
0.3306409 -0.3042641
0.2450524 0.09473336
0.354188 0.2426317
0.4079367 -0.0172796
0.3198439 -0.2508531
0.1349889 -0.1062148
0.06647389 0.1062694
0.1699884 0.03002462
0.1460137 -0.313922
0.1186448 -0.4980234
-0.01917931 -0.4423466
0.01652076 -0.2992706
0.1061619 -0.257333
-0.02925463 -0.3774578
-0.2825795 -0.3116932
-0.2759994 -0.1435992
-0.1719659 -0.1034393
-0.2943906 -0.1568215
-0.5568495 -0.1742269
-0.5413365 -0.03782224
-0.2418264 0.09308373
-0.1376013 0.123482
-0.3537207 -0.005554697
-0.3819048 -0.1997747
-0.1303975 -0.2516725
0.2782434 -0.1941316
0.2022589 -0.2879931
0.05544766 -0.4364666
0.1518543 -0.4007011
0.2543299 -0.269942
0.4052165 -0.2184477
0.2513976 -0.2587769
0.05359615 -0.192746
-0.05633268 0.02340404
0.01383734 0.07030626
0.002149835 -0.01898917
-0.1368621 -0.1049877
-0.2689723 -0.1608811
-0.2647101 -0.2045013
-0.1137075 -0.3547171
0.0162468 -0.5677205
-0.1101473 -0.6652783
-0.2072879 -0.7125332
0.03571586 -0.6473961
0.2184505 -0.4848809
0.1613698 -0.3240192
0.01848202 -0.2005025
0.1024716 -0.2051652
0.169822 -0.3740016
0.0248588 -0.4063421
-0.08952536 -0.1939992
-0.1429374 -0.02777701
-0.08372638 -0.07130449
-0.2165999 -0.1028628
-0.2401353 -0.07593756
-0.2800348 0.04816422
-0.1743006 0.1684315
0.0894222 0.007487954
-0.05224203 -0.3119358
-0.1862005 -0.4820979
-0.08865789 -0.2362255
0.04218624 0.156515
-0.0188277 0.1602563
-0.1855144 -0.06028438
-0.2508239 0.04439805
-0.2538689 0.3869051
-0.2263756 0.7084624
-0.107714 0.6848628
-0.01357213 0.4307936
-0.1208522 0.2686677
-0.2233061 0.4353641
-0.1790643 0.6120906
-0.03184189 0.3723787
0.07075131 0.1094863
-0.03993784 0.235214
-0.115036 0.4362602
0.01279441 0.3525612
0.1122005 0.0476894
0.1408128 0.05409089
0.2038021 0.4345623
0.2970221 0.5166401
0.402921 0.08630598
0.4355864 -0.1703546
0.5776517 0.07606111
0.6487625 0.4411492
0.5286848 0.3726447
0.451691 -0.05393427
0.3975818 -0.3008336
0.2740539 0.05724948
0.02051877 0.2766845
-0.08837326 -0.1543301
-0.09630939 -0.529025
-0.3051406 -0.1161391
-0.3791251 0.5288674
-0.4599506 0.4035016
-0.4319303 -0.1970507
-0.4753149 -0.3847465
-0.4592244 0.003004091
-0.3762628 0.2592518
-0.2962082 -0.05698514
-0.2708483 -0.4787665
-0.1759128 -0.4497048
0.01106 0.003158149
0.1471426 0.3621031
0.1570753 0.2901065
0.2048367 0.07315896
0.323619 0.1956773
0.4856985 0.4570103
0.4688172 0.5550473
0.329771 0.4290377
0.2995728 0.3161665
