# channels number
2
# samples number
1000
# sampling rate
0.89
# start date
01-01-0001
# start time
00:00:00.000
# channels names
Model_12_1;Model_12_1
0.7597332 -0.3829357
-1.039063 -0.8105516
-0.707812 -1.905066
1.206464 -3.117013
1.199746 -1.805111
-0.0976903 0.5694168
0.06084656 1.872858
0.4055627 1.612351
1.030059 -1.66465
1.362859 -4.404957
0.6025005 -3.339732
0.4123926 -2.080514
-1.044264 -2.861472
-0.6950636 -4.758337
-1.309692 -3.895723
-3.160309 0.6467093
-7.208085 4.371827
-6.701552 4.133582
-3.675372 2.950195
-4.44927 3.540917
-6.698564 3.859001
-6.29458 2.088796
-3.226808 -1.20278
0.8366365 -4.125723
1.442199 -4.884597
1.055214 -4.08251
0.6670027 -3.425879
2.543176 -3.434793
4.761347 -4.383625
4.454582 -3.579982
1.677749 -0.7266801
1.814775 1.385467
3.528497 0.06015164
3.946071 -1.303333
1.689723 -1.322035
1.098075 -0.9058785
0.4802268 -2.529642
0.6385177 -6.278101
-0.6518729 -8.424188
-0.6893617 -7.530239
-0.5493329 -6.904959
-0.3718858 -8.984116
-1.726211 -11.10186
-1.089373 -10.50858
1.002066 -8.457599
1.059596 -7.033409
0.1738831 -6.459871
1.646804 -5.987804
3.226328 -3.733709
3.536008 -0.9349262
2.947717 1.334665
1.530308 1.364223
1.581609 -0.4973959
2.707244 -1.158524
2.280835 -1.318973
0.2847324 -4.252338
-0.7523618 -6.935148
0.00563471 -7.339885
-0.237444 -5.767324
-1.055468 -6.020872
-2.176928 -7.789987
-1.318419 -7.571279
-1.281986 -4.396613
-1.587359 -1.155272
-1.480352 0.8367496
1.205156 1.024976
2.084022 2.308448
2.422357 4.150531
2.889565 5.452576
5.495485 3.823768
5.724576 1.198022
5.007234 -1.422043
3.542238 -4.115613
3.640235 -5.735557
2.871427 -6.40417
2.258781 -6.636019
0.3504713 -6.143532
-1.448638 -5.223711
-1.690182 -3.827413
-4.590195 -1.712645
-6.106182 0.5796072
-6.735577 0.3749183
-5.984478 -1.239205
-4.818146 -1.031026
-3.140276 -0.01008565
-3.127105 -0.9789451
-3.383881 -2.851458
0.3188217 -5.231518
4.090452 -6.232501
4.923399 -6.489963
5.46602 -9.485928
6.891773 -12.27201
7.180373 -10.53826
6.476562 -6.500081
5.211177 -4.614666
2.961036 -5.768587
2.569692 -5.476153
1.768929 -1.158327
-0.03934826 2.243599
-4.230482 0.2607394
-7.011066 -2.405639
-4.302049 -3.398951
-4.386616 -2.910803
-6.499303 -2.026278
-8.190128 -0.7485868
-6.395465 -0.4878459
-2.64418 -0.5932805
0.007704244 -1.094787
-0.8653129 -1.560431
0.1385497 -2.142604
2.89068 -1.347591
5.082116 -0.6017025
5.392863 -1.444926
3.941499 -3.825574
5.00915 -4.621955
6.777607 -4.072016
6.233022 -4.192372
2.898414 -4.119063
0.6517564 -3.698102
1.369404 -3.073041
1.779528 -2.448699
-0.3944893 -1.215806
-3.094787 2.041489
-2.040906 3.520414
-0.2910593 4.97589
-0.654317 7.565752
-1.066356 10.21037
-0.02996736 10.41689
1.490866 8.138911
3.069266 6.714427
3.742564 5.079539
2.106335 1.422692
2.632958 -0.2694067
3.90661 2.404778
4.360296 4.583535
4.570747 5.014198
4.852046 4.438799
4.030387 5.549439
5.105198 8.214618
5.176723 9.263089
3.444854 9.386954
0.5255018 8.224626
-0.1201025 6.249694
2.418197 4.484304
2.486222 3.326348
-2.060075 2.176866
-3.40697 2.007613
-0.6467491 3.350316
3.355061 4.057676
2.284261 4.315915
-2.694613 5.902953
-4.944345 7.343809
-1.537478 7.964375
0.4794595 7.834173
-0.2536247 8.331918
-4.243501 6.995799
-4.388305 3.844575
-1.006321 1.623569
1.340178 1.470016
-1.073999 1.343081
-4.467078 -1.96675
-3.639283 -3.141533
-1.380798 -0.6021612
-0.963405 2.261651
-1.935101 1.088953
-4.60876 -1.992265
-3.984097 -0.4954871
-1.979821 3.755432
-0.2867808 5.361831
-1.976256 4.202675
-3.452266 1.627396
-1.068368 -0.2770534
0.8853446 1.020781
0.1391117 4.062231
-1.522852 3.550183
-1.335116 0.705509
3.35261 -0.7946166
5.871736 0.008916145
3.378973 2.575563
0.4910965 4.306798
0.4150087 4.379692
4.405032 3.482671
4.374653 4.248491
2.157526 5.957894
-0.7420382 6.2074
-1.528595 5.23454
-0.6324138 4.579524
1.396825 4.807512
1.14633 6.664746
-3.479756 6.509478
-4.674973 3.125337
-0.831243 1.04199
1.847514 2.494231
-1.590634 4.01495
-4.863832 1.250306
-4.523079 -3.189927
0.4486381 -3.089583
1.715021 2.121807
-2.233854 5.961127
-4.315473 3.525993
0.1746165 0.07373822
5.178638 1.776374
5.515599 4.971098
2.949846 5.009308
2.571276 2.320566
4.174578 2.215183
6.336781 4.904604
6.340368 6.446145
3.631372 4.903939
1.641028 2.030228
3.785668 0.6048348
4.646438 2.308453
3.18558 4.592883
0.6828457 5.110968
-0.0831743 5.660664
1.034979 7.31196
-0.2450795 9.529431
-1.394575 8.673098
-3.829492 6.074906
-1.706331 3.971885
2.307075 3.125483
2.849882 2.222611
-1.185923 1.628142
-0.6766437 1.841053
3.208335 4.006998
5.506323 6.606595
3.140787 7.904456
1.339862 8.719562
1.031057 10.68227
3.512179 11.92167
4.178684 13.28032
2.590987 14.68026
0.9014485 13.95036
0.9017355 11.76224
2.205306 8.456603
-0.1208145 5.754363
-3.307103 5.271547
-2.753482 3.819725
-0.7576361 0.9572078
-0.7539681 0.3265662
-2.614725 2.744773
-2.731783 5.441095
-2.262975 4.906824
-1.721742 2.777922
-2.073219 2.040911
-2.550591 3.062547
-1.727996 2.72521
-0.6377838 0.2703839
-0.4633149 -2.909996
0.834972 -3.652732
1.264601 -3.837262
1.615129 -5.857028
1.365401 -7.067516
2.047281 -5.944384
4.021531 -2.778887
3.086983 -1.083734
2.141472 -3.6044
3.420203 -6.727596
3.637132 -7.438532
4.069244 -4.912864
3.956049 -3.137821
3.369859 -4.693985
1.46242 -7.790617
0.2450307 -7.516942
1.106302 -3.799082
0.7961146 -3.249766
-1.325094 -5.989993
-3.835442 -6.236146
-3.704151 -2.399503
-1.095387 0.3570997
0.8260527 0.6949437
-1.620883 -0.9021295
-4.107001 -1.453104
-2.457895 0.2989186
2.210204 3.08069
4.260403 1.911761
2.683393 -3.238815
0.57045 -5.525649
4.588068 -1.71948
7.239906 2.19861
5.42079 2.083851
0.6827006 0.124069
2.01902 2.147992
