# channels number
2
# samples number
6000
# sampling rate
1
# start date
01-01-0001
# start time
00:00:00.000
# channels names
Model_10_1;Model_11_1
4.512127 2.465524
5.712714 2.108814
4.507874 1.792461
5.342914 2.222449
3.305345 1.932955
4.919661 2.107363
4.233193 2.172325
4.141708 2.059582
3.634199 2.142538
4.36977 1.819496
5.142297 2.345288
4.138681 1.979196
5.261342 1.578676
3.168147 1.799798
3.705679 2.068026
5.228006 1.734521
3.333377 1.80983
4.331156 2.25963
4.081956 2.138656
4.958508 1.956228
5.032976 2.107358
3.902532 1.745916
3.327288 1.749014
5.067517 2.548649
3.212552 1.521934
4.177455 2.038558
5.913001 1.840912
5.198776 2.096414
4.039532 1.708454
3.674706 2.224988
5.140333 1.857878
5.997174 2.285604
3.386574 1.710248
5.856791 2.339872
3.312976 2.042851
4.755671 2.046076
4.775511 1.980947
3.297949 1.847501
3.032733 2.418255
5.805205 1.945695
3.631381 2.196252
3.219445 1.94104
4.247949 1.422249
5.583799 1.951154
3.093343 1.97762
5.99391 1.698556
4.229787 2.036737
3.913723 1.928826
5.49313 2.482394
5.677056 2.072588
4.32207 1.587305
4.346168 2.062086
4.759282 1.860554
5.686868 2.121658
5.843376 2.062723
3.609595 1.69407
5.385426 1.586529
5.440356 2.312982
5.130363 1.826041
5.127889 1.628892
5.00666 2.148315
5.034417 2.040931
3.102176 2.185543
5.959492 1.847595
5.229437 2.225026
5.145123 1.454805
3.752107 2.821734
5.404551 1.983928
5.855172 2.460197
4.950008 2.24447
3.452496 2.352771
3.035429 1.825028
4.298423 1.861262
4.276751 1.633624
4.327126 1.588256
4.81353 2.433026
5.654583 2.244078
3.743489 2.008786
4.974174 2.007675
3.218642 1.931135
5.947669 1.793354
4.999279 2.04742
5.705646 2.064238
4.362476 1.725534
5.352637 1.546214
3.794164 2.262778
4.237893 2.682891
3.699706 2.037742
3.013415 1.911723
5.703381 1.723815
5.370245 1.94781
5.335155 1.659861
4.167586 2.272559
3.904844 2.149715
3.798546 2.57267
4.596964 1.749394
3.117269 1.552571
4.288457 1.89088
3.354362 1.65221
3.94822 2.014715
5.241803 2.241188
4.825236 1.901514
4.058551 2.137028
3.543121 2.022039
5.224561 1.322347
4.286641 2.188265
3.047746 1.941229
3.482531 1.752355
4.359741 2.421717
4.029846 1.724901
3.955012 2.236769
4.641937 1.797228
3.466182 2.194385
4.911721 1.823349
5.180221 1.737315
3.007381 1.922488
5.328771 2.016148
4.7397 2.258037
3.606855 2.075777
4.435273 1.896812
3.90723 1.806851
3.052401 1.962913
5.391136 1.81239
3.151791 1.513642
5.579764 2.335791
4.117341 1.730045
4.867842 1.762941
3.393579 1.626175
3.478205 1.798772
5.730162 1.702874
4.696261 2.286055
4.366126 1.89593
3.389126 1.617626
4.025953 2.268962
3.976839 1.779713
4.122433 1.693802
3.940728 1.657791
5.162524 1.929903
5.137915 1.872611
4.065996 2.400677
3.746419 1.871125
3.755362 2.32824
5.339965 1.936591
4.983569 1.478541
4.748369 2.211888
